,Cena,Približno,Neto cena,DDV,Bivalna površina,Število sob,Leto izgradnje,Vrsta ponudbe,Lokacija,Število nadstropij,Vrsta hiše (gradnja),Vrsta hiše,Neto površina,Površina parcele,Leto zadnje prenove,Opremljenost in stanje,Število parkirnih mest,Balkon / terasa / atrij,Zunanje površine in oprema,Vrsta cene,Oglas je objavljen,Do poteka še,Oglas je prikazan,Link,Šifra oglasa,Možnost menjave,Interna številka oglasa,Energetski razred
0,320.000 €,,,,"200,00 m²",4,2013,Prodam,"Podravska, Pesnica pri Mariboru, Spodnje Dobrenje",Dvonadstropna,"Zidana hiša (beton, opeka)",Dvojček,"264,00 m²","1.300,00 m²",2013,Delno opremljeno,2,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,15.09.2022. ob 08:08,Št. dni: 29 in 22 h,11 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-spodnje-dobrenje-200.00-m2-oglas-9961794,9961794,,,
1,157.000 €,,,,,,1966,Prodam,"Savinjska, Celje, Celje",,,Samostojna,"142,50 m²","898,00 m²",,,brez pripadajočega parkirišča,,,Skupna cena,15.09.2022. ob 00:17,do prodaje,46 -krat,https://www.bolha.com/nepremicnine/celje-hisa-samostojna-prodaja-oglas-9960899,9960899,Menjava za drugo nepremičnino ni možna,109210-114,
2,1.590.000 €,,,,"234,00 m²",5,2018,Prodam,"Goriška, Nova Gorica, Kromberk",,,Samostojna,"298,20 m²","2.860,00 m²",,Popolnoma opremljeno,7+,"Balkon, Terasa","Vrt/dvorišče, Bazen",Skupna cena,15.09.2022. ob 00:17,do prodaje,23 -krat,https://www.bolha.com/nepremicnine/gorica-kromberk-hisa-samostojna-prodaja-oglas-9960897,9960897,Menjava za drugo nepremičnino ni možna,106228-58,EI v izdelavi
3,Po dogovoru,,,,"150,00 m²",6,1970,Prodam,"Pomurska, Murska Sobota, Murska Sobota",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"200,00 m²","700,00 m²",2014,Popolnoma opremljeno,2,"Balkon, Terasa, Loža","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",Skupna cena,14.09.2022. ob 19:53,Št. dni: 29 in 10 h,155 -krat,https://www.bolha.com/nepremicnine/prodaja-samostojne-hise-v-srediscu-murske-sobote-oglas-9960290,9960290,,,
4,250.000 €,,,,"250,00 m²",8,2005,Prodam,"Pomurska, Radenci, Radenski Vrh",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,,,,,,,,Skupna cena,14.09.2022. ob 19:26,Št. dni: 29 in 10 h,60 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-radenski-vrh-250.00-m2-oglas-9960179,9960179,,,
5,149.000 €,,,,"65,00 m²",2,1974,Prodam,"Savinjska, Laško, Brstnik",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"150,00 m²","2.330,00 m²",2000,Popolnoma opremljeno,3,Balkon,"Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Žar",Skupna cena,14.09.2022. ob 16:19,Št. dni: 29 in 7 h,95 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-brstnik-65.00-m2-oglas-9959491,9959491,Menjava za drugo nepremičnino ni možna,,
6,350.000 €,,,,"140,00 m²",,2022,Prodam,"Savinjska, Braslovče, Trnava",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,,"580,00 m²",,,,,,Skupna cena,14.09.2022. ob 15:39,do prodaje,39 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-trnava-140.00-m2-oglas-9959343,9959343,,202113A-DL,
7,450.000 €,,,,"198,00 m²",,2005,Prodam,"Savinjska, Žalec, Migojnice",,"Zidana hiša (beton, opeka)",Samostojna,"198,00 m²","9.900,00 m²",,,,,,Skupna cena,14.09.2022. ob 15:14,do prodaje,66 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-savinjska-zalec-migojnice-oglas-9959264,9959264,,PH01476AP,
8,398.000 €,,,,"150,70 m²",6,1985,Prodam,"Gorenjska, Naklo, Podbrezje",,,Samostojna,"258,90 m²","402,00 m²",2020,Neopremljeno,brez pripadajočega parkirišča,Balkon,,Skupna cena,14.09.2022. ob 15:11,do prodaje,25 -krat,https://www.bolha.com/nepremicnine/naklo-podbrezje-hisa-samostojna-prodaja-oglas-9959240,9959240,Menjava za drugo nepremičnino ni možna,109208-75,E (105 - 150 kWh/m²a)
9,130.000 €,,,,"330,90 m²",,2004,Prodam,"Podravska, Ptuj, Ptuj",,"Zidana hiša (beton, opeka)",Samostojna,,"740,00 m²",,Nedokončana gradnja,,,,Skupna cena,14.09.2022. ob 11:38,Št. dni: 29 in 2 h,192 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-ptuj-330.00-m2-oglas-9958428,9958428,,,EI v izdelavi
10,185.000 €,,,,,3,2000,Prodam,"Podravska, Maribor, Pobrežje",Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,,,2021,Popolnoma opremljeno,,Atrij,,Skupna cena,14.09.2022. ob 11:20,Št. dni: 29 in 2 h,246 -krat,https://www.bolha.com/nepremicnine/hisa-oglas-9958360,9958360,,,
11,440.000 €,,,,"350,00 m²",7,2017,Prodam,"Savinjska, Šentjur, Ponikva",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"400,00 m²","1.500,00 m²",,Popolnoma opremljeno,7+,"Balkon, Zaprt balkon, Terasa, Loža, Atrij","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Vrtna uta, Žar",Skupna cena,14.09.2022. ob 09:54,Št. dni: 19 in 3 h,9050 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-ponikva-enonadstropna-250.00-m2-oglas-4103291,4103291,Možna menjava za drugo nepremičnino,,A1 (0 - 10 kWh/m²a)
12,320.000 €,,,,,5,2022,Prodam,"Osrednjeslovenska, Medvode, Rakovnik",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"150,00 m²",,,Neopremljeno,4,,,Skupna cena,14.09.2022. ob 09:39,Št. dni: 29,575 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-rakovnik-oglas-9707691,9707691,,,
13,85.000 €,,,,,3,1967,Prodam,"Podravska, Pesnica pri Mariboru, Jarenina",,,Samostojna,,,,,,,,Skupna cena,14.09.2022. ob 00:18,do prodaje,721 -krat,https://www.bolha.com/nepremicnine/starejsa-hisa-z-zemljiscem-in-razgledom-oglas-9956645,9956645,,490321042-301,
14,61.990 €,,,,"100,00 m²",,1984,Prodam,"Pomurska, Ljutomer, Ljutomer",Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,,"3.000,00 m²",2022,Popolnoma opremljeno,5,"Balkon, Terasa, Loža, Atrij","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",Skupna cena,13.09.2022. ob 21:13,Št. dni: 28 in 11 h,384 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-ljutomer-100.00-m2-oglas-9956329,9956329,,,C (35 - 60 kWh/m²a)
15,Po dogovoru,,,,"67,30 m²",4,1960,Prodam,"Pomurska, Moravske Toplice, Bogojina",Pritlična,"Zidana hiša (beton, opeka)",Samostojna,"175,90 m²","425,00 m²",2017,,,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,13.09.2022. ob 20:49,Št. dni: 28 in 11 h,2587 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-bogojina-st-8-oglas-9404983,9404983,,,F (150 - 210 kWh/m²a)
16,327.000 €,,,,"290,00 m²",,2001,Prodam,"Obalno-kraška, Kozina, Bač pri Materiji",,"Zidana hiša (beton, opeka)",Dvojček,"290,00 m²","620,00 m²",,Popolnoma opremljeno,brez pripadajočega parkirišča,,,Skupna cena,13.09.2022. ob 15:12,do prodaje,53 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-dvojcek-juzna-primorska-hrpelje-kozina-bac-pri-materi-oglas-9954977,9954977,,PH229012668658KM-1,
17,795.000 €,,,,"139,00 m²",,1950,Prodam,"Podravska, Duplek, Zimica",,"Zidana hiša (beton, opeka)",Samostojna,"139,00 m²","137.266,00 m²",2013,,2,,,Skupna cena,13.09.2022. ob 15:12,do prodaje,165 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-duplek-zimica-oglas-9954972,9954972,,PH4647853MR,
18,199.000 €,,,,"107,00 m²",3,1976,Prodam,"Savinjska, Rogaška Slatina, Rogaška Slatina",,"Zidana hiša (beton, opeka)",Samostojna,"107,00 m²","522,00 m²",2018,Delno opremljeno,brez pripadajočega parkirišča,,,Skupna cena,13.09.2022. ob 15:11,do prodaje,138 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-savinjska-rogaska-slatina-rogaska-slatina-oglas-9954960,9954960,,PH38622278SP,
19,170.000 €,,,,"522,00 m²",,1970,Prodam,"Posavska, Sevnica, Boštanj",,"Zidana hiša (beton, opeka)",Samostojna,"522,00 m²","929,00 m²",2002,Delno opremljeno,2,,,Skupna cena,13.09.2022. ob 15:10,do prodaje,41 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-posavje-sevnica-bostanj-oglas-9954955,9954955,,PH00889AN,
20,140.000 €,,,,"70,00 m²",3,1934,Prodam,"Savinjska, Nazarje, Nazarje",Pritlična,"Zidana hiša (beton, opeka)",Samostojna,"130,00 m²",,2011,Delno opremljeno,,"Terasa, Atrij",Vrt/dvorišče,Skupna cena,13.09.2022. ob 12:14,Št. dni: 28 in 3 h,1650 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-nazarje-70.00-m2-oglas-9793619,9793619,Menjava za drugo nepremičnino ni možna,,EI v izdelavi
21,20.000 €,,,,"160,00 m²",10+,1950,Prodam,"Pomurska, Lendava, Dolga vas",Pritlična,"Zidana hiša (beton, opeka)",,"160,00 m²","1.000,00 m²",,,,,,Skupna cena,13.09.2022. ob 11:16,Št. dni: 28 in 2 h,128 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-dolga-vas-160.00-m2-oglas-9953909,9953909,,,
22,90.000 €,,,,"300,00 m²",5,2010,Prodam,"Pomurska, Lendava, Dolga vas",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"300,00 m²","2.000,00 m²",,,,,,Skupna cena,13.09.2022. ob 11:06,Št. dni: 28 in 1 h,103 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-dolga-vas-300.00-m2-oglas-9953867,9953867,,,
23,360.000 €,,,,"282,00 m²",5,,Prodam,"Podravska, Maribor, Studenci",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"300,00 m²","970,00 m²",2005,,4,"Balkon, Zaprt balkon","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar",Skupna cena,13.09.2022. ob 11:04,Št. dni: 28 in 1 h,136 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-studenci-282.00-m2-oglas-9953859,9953859,,,D (60 - 105 kWh/m²a)
24,262.000 €,,,,"427,00 m²",7,2007,Prodam,"Podravska, Zavrč, Korenjak",Pritlična,"Zidana hiša (beton, opeka)",Samostojna,"427,00 m²","87.000,00 m²",2007,Popolnoma opremljeno,7+,"Zaprt balkon, Terasa","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Žar",Skupna cena,13.09.2022. ob 10:00,Št. dni: 5 in 7 h,6005 -krat,https://www.bolha.com/nepremicnine/hisa-podravska-zavrc-korenjak-samostojna-427.00-m2-prodam-oglas-1426691,1426691,Možna menjava za drugo nepremičnino,,E (105 - 150 kWh/m²a)
25,897.000 €,,,,,6,1983,Prodam,"Savinjska, Laško, Laško",,,Samostojna,,,,,,,"Bazen, Vrt/dvorišče",Skupna cena,13.09.2022. ob 00:16,do prodaje,217 -krat,https://www.bolha.com/nepremicnine/cudovita-hisa-v-laskem-grajskem-gricu-oglas-9952273,9952273,,490191094-107,D (60 - 105 kWh/m²a)
26,259.000 €,,,,,5,1950,Prodam,"Obalno-kraška, Koper, Škofije",Dvonadstropna,,Samostojna,,,,,,,Vrt/dvorišče,Skupna cena,13.09.2022. ob 00:15,do prodaje,141 -krat,https://www.bolha.com/nepremicnine/vrstna-krajna-hisa-spodnjih-skofijah-oglas-9952272,9952272,,490111024-29,G (210+ kWh/m²a)
27,159.000 €,,,,,6,1800,Prodam,"Obalno-kraška, Koper, Črni Kal",Večnadstropna,,Samostojna,,,,,,,Vrt/dvorišče,Skupna cena,13.09.2022. ob 00:15,do prodaje,90 -krat,https://www.bolha.com/nepremicnine/koncna-vrstna-hisa-v-crnem-kalu-potrebna-prenove-oglas-9952271,9952271,,490111023-115,Ni možno izdati
28,13.500 €,,,,"26,00 m²",1,1991,Prodam,"Pomurska, Lendava, Lendava",Pritlična,"Zidana hiša (beton, opeka)",Samostojna,,"837,00 m²",,,,,,Skupna cena,12.09.2022. ob 22:03,Št. dni: 27 in 12 h,2263 -krat,https://www.bolha.com/nepremicnine/hisa-pomurska-lendava-dolgovaske-gorice-26-m2-prodam-oglas-1427830,1427830,,,EI ni potrebna (334. člen EZ-1)
29,32.000 €,,,,,,1965,Prodam,"Podravska, Podlehnik, Zgornje Gruškovje",,"Zidana hiša (beton, opeka)",Samostojna,"153,00 m²",,,,,,,Skupna cena,12.09.2022. ob 18:58,Št. dni: 27 in 9 h,4706 -krat,https://www.bolha.com/nepremicnine/hisa-zgornje-gruskovje-prodam-oglas-8310383,8310383,,,
30,"149,90 €",,,,"120,00 m²",,2022,Prodam,"Podravska, Miklavž na Dravskem polju, Dravski Dvor",Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,"120,00 m²","300,00 m²",,,,,,Skupna cena,12.09.2022. ob 18:42,Št. dni: 27 in 9 h,537 -krat,https://www.bolha.com/nepremicnine/dvojcek-obcina-miklavz-dravski-dvor-120-m2-oglas-9951300,9951300,,,
31,Po dogovoru,,,,"120,00 m²",4,1974,Prodam,"Podravska, Slovenska Bistrica, Leskovec",Enonadstropna,"Zidana hiša (beton, opeka)",Dvostanovanjska,"170,00 m²","120,00 m²",2015,Delno opremljeno,3,"Balkon, Terasa",Vrt/dvorišče,Skupna cena,12.09.2022. ob 17:31,Št. dni: 27 in 8 h,1113 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-leskovec-120.00-m2-oglas-9737769,9737769,Možna menjava za drugo nepremičnino,,D (60 - 105 kWh/m²a)
32,60.000 €,,,,"120,00 m²",5,1985,Prodam,"Jugovzhodna Slovenija, Škocjan, Dolenje Radulje",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,,"2.300,00 m²",1995,Delno opremljeno,,"Balkon, Zaprt balkon","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Vrtna uta, Žar",Skupna cena,12.09.2022. ob 14:01,Št. dni: 27 in 4 h,1612 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-dolenje-radulje-120.00-m2-oglas-9569537,9569537,Možna menjava za drugo nepremičnino,,
33,1 €,,,,"500,00 m²",7,1950,Prodam,"Savinjska, Rogaška Slatina, Podplat",Enonadstropna,"Zidana hiša (beton, opeka)",Dvostanovanjska,"500,00 m²","1.000,00 m²",2000,Delno opremljeno,2,"Balkon, Zaprt balkon, Terasa",Zimski vrt,Skupna cena,12.09.2022. ob 13:39,Št. dni: 27 in 4 h,80 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-podplat-500.00-m2-oglas-9949993,9949993,Menjava za drugo nepremičnino ni možna,,EI v izdelavi
34,399.800 €,,,,"297,30 m²",5,1988,Prodam,"Osrednjeslovenska, Ljubljana Vič Rudnik, Vič - Dolgi most",Večnadstropna,,Samostojna,"174,50 m²","580,00 m²",,,,"Balkon, Terasa, Atrij",Vrt/dvorišče,Skupna cena,12.09.2022. ob 12:54,do prodaje,97 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-vic-dolgi-most-297.30-m2-oglas-9949804,9949804,,304,D (60 - 105 kWh/m²a)
35,210.000 €,,,,"100,00 m²",,1905,Prodam,"Obalno-kraška, Koper, Glem",,,,,,2020,,,Terasa,,Skupna cena,12.09.2022. ob 11:52,Št. dni: 27 in 2 h,23425 -krat,https://www.bolha.com/nepremicnine/hisa-obalno-kraska-marezige-glem-vrstna-100-m2-prodam-oglas-1442779,1442779,,,
36,219.000 €,,,,,,1985,Prodam,"Podravska, Ruše, Ruše",Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,"223,00 m²","380,00 m²",,,,Atrij,,Skupna cena,12.09.2022. ob 11:51,Št. dni: 27 in 2 h,1724 -krat,https://www.bolha.com/nepremicnine/vrstna-hisa-v-rusah-oglas-9374800,9374800,,,E (105 - 150 kWh/m²a)
37,640.000 €,,,,,4,1900,Prodam,"Gorenjska, Bled, Bled",Dvonadstropna,,Samostojna,"200,00 m²","342,00 m²",2015,Delno opremljeno,,"Balkon, Terasa",,Skupna cena,12.09.2022. ob 11:04,do prodaje,148 -krat,https://www.bolha.com/nepremicnine/hisa-mlino-bled-oglas-9949209,9949209,,HMB,
38,270.000 €,,,,"127,00 m²",4,1977,Prodam,"Gorenjska, Preddvor, Bašelj",Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,"135,00 m²","528,00 m²",2000,Delno opremljeno,2,"Balkon, Terasa","Vrt/dvorišče, Žar",Skupna cena,12.09.2022. ob 10:41,Št. dni: 27 in 1 h,881 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-baselj-80.00-m2-oglas-9734473,9734473,Menjava za drugo nepremičnino ni možna,,E (151 do 200 kWh/m²a) - HR
39,750.000 €,,,,"587,00 m²",,1998,Prodam,"Osrednjeslovenska, Škofljica, Gradišče nad Pijavo Gorico",Dvonadstropna,,Samostojna,,"856,00 m²",,,,,,Skupna cena,12.09.2022. ob 09:18,do prodaje,58 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-gradisce-nad-pijavo-gorico-587.00-m2-oglas-9948673,9948673,,,C (35 - 60 kWh/m²a)
40,99.000 €,,,,"179,00 m²",,1979,Prodam,"Pomurska, Beltinci, Dokležovje",,,,,"1.041,00 m²",1990,,,,,Skupna cena,12.09.2022. ob 09:17,do prodaje,504 -krat,https://www.bolha.com/nepremicnine/prodamo-hiso-v-obcini-beltinci-doklezovje-179.00-m2-oglas-9948666,9948666,,088,F (150 - 210 kWh/m²a)
41,246.000 €,,,,,2,1964,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Črnuče",,,Samostojna,"107,90 m²","314,00 m²",2015,Delno opremljeno,3,Terasa,Vrt/dvorišče,Skupna cena,12.09.2022. ob 09:11,do prodaje,311 -krat,https://www.bolha.com/nepremicnine/ljubljana-crnuce-hisa-samostojna-prodaja-oglas-9948641,9948641,Menjava za drugo nepremičnino ni možna,101216-80,
42,66.000 €,,,,"35,00 m²",3,1850,Prodam,"Savinjska, Kozje, Podsreda",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"90,00 m²","1.989,00 m²",1980,Potrebno obnove,2,Balkon,,Skupna cena,12.09.2022. ob 07:54,Št. dni: 26 in 22 h,654 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-gradisce-1-podsreda-oglas-9807565,9807565,,,
43,320.000 €,,,,"100,00 m²",5,1967,Prodam,"Gorenjska, Kranj, Kranj",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"165,00 m²","395,00 m²",1999,Delno opremljeno,,"Balkon, Terasa",Vrtna uta,Skupna cena,12.09.2022. ob 07:44,do prodaje,111 -krat,https://www.bolha.com/nepremicnine/stanovanjska-hisa-kranj-primskovo-oglas-9948374,9948374,,HPRI,F (150 - 210 kWh/m²a)
44,360.000 €,,,,"129,40 m²",4,2022,Prodam,"Podravska, Maribor, Studenci",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"129,40 m²","341,00 m²",2022,Neopremljeno,2,Terasa,Vrt/dvorišče,Skupna cena,12.09.2022. ob 07:43,Št. dni: 26 in 22 h,474 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-studenci-129.00-m2-oglas-9571127,9571127,Menjava za drugo nepremičnino ni možna,,A1 (0 - 10 kWh/m²a)
45,397.000 €,,,,"140,00 m²",5,1987,Prodam,"Gorenjska, Cerklje na Gorenjskem, Cerklje na Gorenjskem",Enonadstropna,"Zidana hiša (beton, opeka)",Dvostanovanjska,"225,00 m²","602,00 m²",,,,"Balkon, Terasa",Vrt/dvorišče,Skupna cena,12.09.2022. ob 07:33,do prodaje,80 -krat,https://www.bolha.com/nepremicnine/samostojna-hisa-cerklje-gorenjskem-oglas-9948349,9948349,,HCNG,
46,120.000 €,,,,"190,00 m²",7,1965,Prodam,"Pomurska, Murska Sobota, Murska Sobota",Pritlična,"Zidana hiša (beton, opeka)",Samostojna,,"2.077,00 m²",2016,Delno opremljeno,3,,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar",Skupna cena,11.09.2022. ob 23:51,Št. dni: 26 in 14 h,522 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-partizanska-30-murska-sobota-190.00-m2-oglas-9947659,9947659,,,
47,148.000 €,,,,"80,00 m²",3,1977,Prodam,"Osrednjeslovenska, Polhov Gradec, Selo nad Polhovim Gradcem",Visokopritlična,,Samostojna,"120,00 m²","1.800,00 m²",,,,"Balkon, Terasa, Loža","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Žar, Bazen",Skupna cena,11.09.2022. ob 19:30,Št. dni: 26 in 10 h,12026 -krat,https://www.bolha.com/nepremicnine/hisa-osrednjeslovenska-polhov-gradec-selo-nad-polhovim-gradcem-oglas-1428328,1428328,Možna menjava za drugo nepremičnino,501,EI v izdelavi
48,175.000 €,,,,,,1988,Prodam,"Primorsko-notranjska, Pivka, Parje",,"Zidana hiša (beton, opeka)",Samostojna,,,,,,,,Skupna cena,11.09.2022. ob 18:35,Št. dni: 26 in 9 h,126 -krat,https://www.bolha.com/nepremicnine/prodam-hiso-parje-oglas-9946511,9946511,,,
49,235.000 €,,,,"220,60 m²",6,2018,Prodam,"Pomurska, Tišina, Sodišinci",Pritlična,Lesena hiša,Samostojna,"286,00 m²","986,00 m²",,Delno opremljeno,6,"Balkon, Zaprt balkon, Terasa, Loža",Vrt/dvorišče,Skupna cena,11.09.2022. ob 16:57,Št. dni: 19 in 23 h,12812 -krat,https://www.bolha.com/nepremicnine/pomurska-sodisinci-samostojna-286.00-m2-mejni-prehod-avstrija-1km-oglas-1438350,1438350,,,EI v izdelavi
50,250.000 €,,,,"183,00 m²",,1970,Prodam,"Podravska, Slovenska Bistrica, Slovenska Bistrica",,"Zidana hiša (beton, opeka)",Samostojna,"183,00 m²","1.341,00 m²",2002,,brez pripadajočega parkirišča,,,Skupna cena,11.09.2022. ob 15:11,do prodaje,261 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-slovenska-bistrica-slovenska-bistr-oglas-9945377,9945377,,PH38622277PV,
51,Po dogovoru,,,,"149,00 m²",,2022,Prodam,"Obalno-kraška, Koper, Srgaši",Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,"149,00 m²","421,00 m²",,Nedokončana gradnja,,"Balkon, Terasa",Vrt/dvorišče,Skupna cena,11.09.2022. ob 14:51,Št. dni: 27 in 1 h,184 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-srgasi-149.00-m2-oglas-9945256,9945256,,,
52,475.000 €,,,,"220,70 m²",,2018,Prodam,"Gorenjska, Tržič, Bistrica pri Tržiču",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"251,30 m²","406,00 m²",,Delno opremljeno,4,Balkon,Vrt/dvorišče,Skupna cena,11.09.2022. ob 13:55,do prodaje,84 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-bistrica-pri-trzicu-220.70-m2-oglas-9944966,9944966,,HIŠATK1,
53,146.000 €,,,,"120,80 m²",,1913,Prodam,"Gorenjska, Kranj, Kranj",Dvonadstropna,,Samostojna,"142,80 m²","228,00 m²",2016,,1,,,Skupna cena,11.09.2022. ob 13:17,do prodaje,446 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-kranj-120.80-m2-oglas-9944782,9944782,Možna menjava za drugo nepremičnino,HIŠATK2,
54,90.000 €,,,,"120,00 m²",,,Prodam,"Podravska, Ormož, Svetinje",Pritlična,"Zidana hiša (beton, opeka)",Dvostanovanjska,,,2019,,,,,Skupna cena,11.09.2022. ob 12:04,Št. dni: 26 in 2 h,1300 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-svetinje-120.00-m2-oglas-9533407,9533407,,,
55,240.000 €,,,,"180,00 m²",7,1984,Prodam,"Posavska, Brežice, Dobova",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"250,00 m²","900,00 m²",,Delno opremljeno,7+,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,11.09.2022. ob 12:04,Št. dni: 26 in 2 h,60 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-dobova-180.00-m2-oglas-9944398,9944398,Menjava za drugo nepremičnino ni možna,,EI v izdelavi
56,473.500 €,,,,"320,00 m²",6,2004,Prodam,"Osrednjeslovenska, Škofljica, Škofljica",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"320,00 m²","1.300,00 m²",,Neopremljeno,,"Terasa, Loža","Vrt/dvorišče, Lopa za shranjevanje, Žar",Skupna cena,11.09.2022. ob 10:06,Št. dni: 26,10067 -krat,https://www.bolha.com/nepremicnine/hisa-osrednjeslovenska-skofljica-vrh-nad-zelimljami-samostojna-oglas-1428023,1428023,,,
57,18.000 €,,,,"25,00 m²",2,1980,Prodam,"Posavska, Krško, Mali Kamen",Pritlična,"Zidana hiša (beton, opeka)",Samostojna,,"2.122,00 m²",,,,Balkon,Vrt/dvorišče,Skupna cena,11.09.2022. ob 00:07,Št. dni: 25 in 14 h,8195 -krat,https://www.bolha.com/nepremicnine/zidanica-z-parcelo-vikend-spodnjeposavska-koprivnica-mrcna-sela-oglas-1426992,1426992,,,
58,Po dogovoru,,,,"160,00 m²",,2021,Prodam,"Gorenjska, Kranj, Kranj",,,Samostojna,,"700,00 m²",,Popolnoma opremljeno,,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,10.09.2022. ob 15:44,Št. dni: 25 in 6 h,1301 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-kranj-160.00-m2-oglas-9638928,9638928,,,A1 (0 - 10 kWh/m²a)
59,690.000 €,,,,"360,00 m²",5,1973,Prodam,"Goriška, Nova Gorica, Ozeljan",,"Zidana hiša (beton, opeka)",Kmetija,"360,00 m²","10.690,00 m²",,Popolnoma opremljeno,brez pripadajočega parkirišča,,,Skupna cena,10.09.2022. ob 15:12,do prodaje,179 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-kmetija-severna-primorska-gorica-ozeljan-oglas-9940881,9940881,,PH22901266859312MŠ,
60,325.000 €,,,,"230,00 m²",5,1972,Prodam,"Gorenjska, Cerklje na Gorenjskem, Cerklje na Gorenjskem",,"Zidana hiša (beton, opeka)",Samostojna,"230,00 m²","950,00 m²",,,,,,Skupna cena,10.09.2022. ob 15:12,do prodaje,121 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-gorenjska-cerklje-gorenjskem-cerklje-g-oglas-9940880,9940880,,PH00822KM,
61,Po dogovoru,,,,"160,00 m²",1,,Prodam,"Primorsko-notranjska, Ilirska Bistrica, Podgrad",Pritlična,,Samostojna,,"209,00 m²",1973,,,,,Skupna cena,10.09.2022. ob 15:11,Št. dni: 25 in 5 h,6502 -krat,https://www.bolha.com/nepremicnine/hisa-notranjsko-kraska-samostojna-160-m2-prodam-ugodno-pripa-oglas-1429160,1429160,,,
